DATE,PRESET Y SALES,NEXT Y SALES,EXPENSES,NET PROFIT,EPS,DIVIDEND PAYOUT,EQUITY,RESERVES,ROCE,PROMOTERS,FII,DII,DECISION
2023,20852,26711,9905,6393,24.58,20,432,44985,10,61.03,17.99,13.02,BUY
2022,17119,20852,7591,4953,23.13,22,422,41399,11,65.55,14.26,15.32,BUY
2021,12550,17119,3862,5049,24.58,20,406,30035,14,63.74,17.9,14.83,BUY
2020,11873,12550,5926,3785,18.52,17,406,25051,12,62.79,17.53,16.62,BUY
2019,10925,11873,4330,4045,19.27,1,414,23958,14,62.3,21.82,12.54,BUY
2018,11323,10925,4166,3690,17.74,11,414,20489,17,66.27,18.02,12.17,SELL
2017,8439,11323,3021,3902,18.89,7,414,17112,14,61.3,23.25,10.34,BUY
2016,7109,8439,2532,2856,13.99,8,414,13091,13,0,0,0,BUY
2015,6152,7109,2250,2324,11.18,10,414,10351,14,0,0,0,BUY
2014,4830,6152,1910,1741,8.4,12,414,8351,14,0,0,0,BUY
2013,3577,4830,1195,1639,8.1,12,401,5993,11,0,0,0,BUY
