DATE,PRESET Y SALES,NEXT Y SALES,EXPENSES,NET PROFIT,EPS,DIVIDEND PAYOUT,EQUITY,RESERVES,ROCE,PROMOTERS,FII,DII,DECISION
2023,87448,112759,30999,10919,35.16,3,615,129166,9,8.16,49.05,32.01,BUY
2022,68846,87448,31213,14207,34.99,2,614,117647,13,9.7,46.93,30.5,BUY
2021,64696,68846,35192,7252,23.49,0,613,102981,8,13.58,51.43,23.27,BUY
2020,63716,64696,35976,1879,6.57,0,564,85776,2,16,45.49,24.94,BUY
2019,56044,63716,28020,5047,19.59,5,514,67288,8,18.7,49.62,21.24,BUY
2018,46614,56044,29717,464,1.78,0,513,63694,1,27.6,49.9,13.41,BUY
2017,45175,46614,24327,3967,16.51,30,479,55901,7,30.13,50.54,8.84,BUY
2016,41409,45175,13869,8358,35.04,14,477,53082,17,0,0,0,BUY
2015,35727,41409,11521,7450,31.42,15,474,44475,18,0,0,0,BUY
2014,30736,35727,9944,6311,26.86,15,470,37926,18,0,0,0,BUY
2013,27202,30736,8538,5235,22.37,16,468,32690,19,0,0,0,BUY
