DATE,PRESET Y SALES,NEXT Y SALES,EXPENSES,NET PROFIT,EPS,DIVIDEND PAYOUT,EQUITY,RESERVES,ROCE,PROMOTERS,FII,DII,DECISION
2023,36455,44870,29991,6060,214.17,65,283,29079,26,54.99,12.35,10.79,BUY
2022,33145,36455,27886,6166,213.08,66,289,29570,23,53.77,10.49,13.17,BUY
2021,27741,33145,22803,4857,167.85,83,289,26984,25,53.7,11.99,12.29,BUY
2020,29919,27741,24809,5212,180.11,67,289,21373,30,53.66,13.94,8.76,SELL
2019,30358,29919,25160,4928,170.29,35,289,22944,30,51.18,15.64,7.38,SELL
2018,25210,30358,20364,4219,145.8,41,289,20136,31,49.3,17.2,8.51,BUY
2017,21755,25210,17326,4079,140.98,39,289,17567,35,49.3,17.44,7.67,BUY
2016,22574,21755,17781,4061,140.35,39,289,13731,45,0,0,0,SELL
2015,21595,22574,17467,3026,104.56,48,289,10806,40,0,0,0,BUY
2014,20137,21595,15974,3380,116.82,43,289,9878,50,0,0,0,BUY
2013,20025,20137,16370,3133,108.26,42,289,7776,59,0,0,0,BUY
