DATE,PRESET Y SALES,NEXT Y SALES,EXPENSES,NET PROFIT,EPS,DIVIDEND PAYOUT,EQUITY,RESERVES,ROCE,PROMOTERS,FII,DII,DECISION
2023,82072,110382,52204,12210,40.29,2,159,46248,11,60.78,7.03,7.1,BUY
2022,68406,82072,46951,8314,28.63,1,80,40167,10,60.77,8.5,6.97,BUY
2021,60592,68406,40950,7367,28.09,1,80,35750,10,60.8,9.07,6.09,BUY
2020,54351,60592,36094,5994,21.17,2,80,31222,11,60.8,8.62,6.24,BUY
2019,42605,54351,27569,5374,20.23,1,80,23660,13,58.37,8.3,6.5,BUY
2018,32862,42605,22074,4176,16.65,1,80,20403,13,58.35,7.82,7.03,BUY
2017,24507,32862,15794,3450,14.21,1,80,16071,14,58.35,8.22,6.39,BUY
2016,20533,24507,13795,2775,11.71,1,80,13519,14,0,0,0,BUY
2015,11335,20533,5823,2409,10.62,2,80,11009,15,0,0,0,BUY
2014,6023,11335,1531,2191,9.71,2,80,9232,16,0,0,0,BUY
2013,8055,6023,4124,2214,9.89,2,80,7722,19,0,0,0,SELL
