DATE,PRESET Y SALES,NEXT Y SALES,EXPENSES,NET PROFIT,EPS,DIVIDEND PAYOUT,EQUITY,RESERVES,ROCE,PROMOTERS,FII,DII,DECISION
2022,116547,139145,59013,8305,7.23,39,2795,63759,11,55.93,19.36,19.5,BUY
2021,100616,116547,55337,-12364,-25.63,0,2746,56207,7,55.86,18.57,20.35,BUY
2020,87539,100616,50930,-30664,-55.06,-3,2728,74417,5,58.98,20.29,15.83,BUY
2019,80780,87539,55016,1688,0.74,244,1999,69424,3,67.14,17.61,13.25,BUY
2018,82639,80780,52560,2184,2,194,1999,67536,7,67.14,18.45,12.38,SELL
2017,95468,82639,60138,4241,6.91,11,1999,65458,10,67.14,15.22,11.15,SELL
2016,96532,95468,62548,6893,11.05,9,1999,64771,13,0,0,0,SELL
2015,96101,96532,62499,5048,8.41,33,1999,37778,11,0,0,0,BUY
2014,85864,96101,59352,3019,5.04,26,1999,57757,10,0,0,0,BUY
2013,76947,85864,53987,2267,4.32,17,1899,48423,7,0,0,0,BUY
2012,71506,76947,47965,4258,8.15,9,1899,48712,9,0,0,0,BUY
