DATE,PRESET Y SALES,NEXT Y SALES,EXPENSES,NET PROFIT,EPS,DIVIDEND PAYOUT,EQUITY,RESERVES,ROCE,PROMOTERS,FII,DII,DECISION
2023,16301,16769,13470,2316,96.39,75,24,3510,49,50.55,19.44,14.22,BUY
2022,14136,16301,11935,1516,63.31,89,24,2534,41,50.55,17.17,7.94,BUY
2021,13136,14136,10627,1851,77.38,204,24,3524,45,50.55,17.96,11.23,BUY
2020,11600,13136,9756,13194,58.33,60,24,4379,37,50.63,14.71,13.38,BUY
2019,11055,11600,9322,1155,48.23,31,24,4229,44,50.66,15.75,12.37,BUY
2018,9914,11055,8413,1004,41.83,30,24,3382,47,50.7,17.05,12.63,BUY
2017,9054,9914,7776,885,36.85,30,24,2672,52,50.73,14.85,12.82,BUY
2016,8397,9054,7174,825,34.36,29,24,2068,68,0,0,0,BUY
2015,7858,8397,6988,689,28.71,28,24,1221,66,0,0,0,BUY
2014,6913,7858,6286,395,16.48,36,24,774,59,0,0,0,BUY
2013,6185,6913,5765,260,10.85,39,24,534,39,0,0,0,BUY
