DATE,PRESET Y SALES,NEXT Y SALES,EXPENSES,NET PROFIT,EPS,DIVIDEND PAYOUT,EQUITY,RESERVES,ROCE,PROMOTERS,FII,DII,DECISION
2022,21763,22753,17211,2547,31.19,16,161,20680,17,33.63,26.65,21.99,BUY
2021,19160,21763,14907,2389,29.82,17,161,18165,17,36.73,23.26,17.17,BUY
2020,17132,19160,13926,1500,19.18,21,161,15602,12,36.68,17.98,22.63,BUY
2019,16362,17132,13265,1492,18.96,16,161,14851,11,36.7,26.63,14.18,BUY
2018,15156,16362,12329,1417,17.52,17,161,14068,9,37.21,24.18,13.92,BUY
2017,14394,15156,11898,1035,12.51,16,161,12383,7,37.48,20.2,15.85,BUY
2016,13790,14394,11310,1383,16.93,12,161,11356,13,0,0,0,BUY
2015,11345,13790,9183,1229,14.71,14,161,10641,15,0,0,0,BUY
2014,10173,11345,8026,1404,17.29,12,161,9890,19,0,0,0,BUY
2013,8279,10173,6065,1545,19.24,10,161,8858,24,0,0,0,BUY
2012,7021,8279,5325,1144,14.25,14,161,7478,20,0,0,0,BUY
