DATE,PRESET Y SALES,NEXT Y SALES,EXPENSES,NET PROFIT,EPS,DIVIDEND PAYOUT,EQUITY,RESERVES,ROCE,PROMOTERS,FII,DII,DECISION
2022,21763,22753,17211,2547,31.19,16,161,20680,17,33.63,26.65,21.99,BUY
2021,19160,21763,14907,2389,29.82,17,161,18165,17,36.73,23.26,17.17,BUY
2020,17132,19160,13926,1500,19.18,21,161,15602,12,36.68,17.98,22.63,BUY
2019,16362,17132,13265,1492,18.96,16,161,14851,11,36.7,26.63,14.18,BUY
2018,15156,16362,12329,1417,17.52,17,161,14068,9,37.21,24.18,13.92,BUY
2017,14394,15156,11898,1035,12.51,16,161,12383,7,37.48,20.2,15.85,BUY
2016,13790,14394,11310,1383,16.93,12,161,11356,13,0,0,0,BUY
2015,11345,13790,9183,1229,14.71,14,161,10641,15,0,0,0,BUY
2014,10173,11345,8026,1404,17.29,12,161,9890,19,0,0,0,BUY
2013,8279,10173,6065,1545,19.24,10,161,8858,24,0,0,0,BUY
2012,7021,8279,5325,1144,14.25,14,161,7478,20,0,0,0,BUY
2022,29101,34489,24298,3085,31.59,61,96,13716,29,52.63,19.45,7.57,BUY
2021,21713,29101,16857,3207,32.73,55,96,12710,34,52.79,20.38,7.27,BUY
2020,20211,21713,16054,2774,28.2,43,96,10034,33,52.79,17.21,9.81,BUY
2019,19240,20211,15475,2208,22.48,47,96,9375,33,52.79,16.33,9.51,BUY
2018,16825,19240,13621,2098,21.26,41,96,8314,36,52.79,15.08,11.76,BUY
2017,15062,16825,12068,2016,20.22,51,96,7508,38,52.79,18.07,7.6,BUY
2016,14271,15062,11546,1803,18.19,41,96,6429,42,0,0,0,BUY
2015,13615,14271,11372,1427,14.54,42,96,4646,42,0,0,0,BUY
2014,12220,13615,10217,1263,12.71,42,96,3943,45,0,0,0,BUY
2013,10504,12220,8767,1160,11.61,40,96,3288,47,0,0,0,BUY
2012,9231,10504,7720,1021,10.31,39,96,2653,51,0,0,0,BUY
2023,36455,44870,29991,6060,214.17,65,283,29079,26,54.99,12.35,10.79,BUY
2022,33145,36455,27886,6166,213.08,66,289,29570,23,53.77,10.49,13.17,BUY
2021,27741,33145,22803,4857,167.85,83,289,26984,25,53.7,11.99,12.29,BUY
2020,29919,27741,24809,5212,180.11,67,289,21373,30,53.66,13.94,8.76,SELL
2019,30358,29919,25160,4928,170.29,35,289,22944,30,51.18,15.64,7.38,SELL
2018,25210,30358,20364,4219,145.8,41,289,20136,31,49.3,17.2,8.51,BUY
2017,21755,25210,17326,4079,140.98,39,289,17567,35,49.3,17.44,7.67,BUY
2016,22574,21755,17781,4061,140.35,39,289,13731,45,0,0,0,SELL
2015,21595,22574,17467,3026,104.56,48,289,10806,40,0,0,0,BUY
2014,20137,21595,15974,3380,116.82,43,289,9878,50,0,0,0,BUY
2013,20025,20137,16370,3133,108.26,42,289,7776,59,0,0,0,BUY
2023,87448,112759,30999,10919,35.16,3,615,129166,9,8.16,49.05,32.01,BUY
2022,68846,87448,31213,14207,34.99,2,614,117647,13,9.7,46.93,30.5,BUY
2021,64696,68846,35192,7252,23.49,0,613,102981,8,13.58,51.43,23.27,BUY
2020,63716,64696,35976,1879,6.57,0,564,85776,2,16,45.49,24.94,BUY
2019,56044,63716,28020,5047,19.59,5,514,67288,8,18.7,49.62,21.24,BUY
2018,46614,56044,29717,464,1.78,0,513,63694,1,27.6,49.9,13.41,BUY
2017,45175,46614,24327,3967,16.51,30,479,55901,7,30.13,50.54,8.84,BUY
2016,41409,45175,13869,8358,35.04,14,477,53082,17,0,0,0,BUY
2015,35727,41409,11521,7450,31.42,15,474,44475,18,0,0,0,BUY
2014,30736,35727,9944,6311,26.86,15,470,37926,18,0,0,0,BUY
2013,27202,30736,8538,5235,22.37,16,468,32690,19,0,0,0,BUY
2023,20852,26711,9905,6393,24.58,20,432,44985,10,61.03,17.99,13.02,BUY
2022,17119,20852,7591,4953,23.13,22,422,41399,11,65.55,14.26,15.32,BUY
2021,12550,17119,3862,5049,24.58,20,406,30035,14,63.74,17.9,14.83,BUY
2020,11873,12550,5926,3785,18.52,17,406,25051,12,62.79,17.53,16.62,BUY
2019,10925,11873,4330,4045,19.27,1,414,23958,14,62.3,21.82,12.54,BUY
2018,11323,10925,4166,3690,17.74,11,414,20489,17,66.27,18.02,12.17,SELL
2017,8439,11323,3021,3902,18.89,7,414,17112,14,61.3,23.25,10.34,BUY
2016,7109,8439,2532,2856,13.99,8,414,13091,13,0,0,0,BUY
2015,6152,7109,2250,2324,11.18,10,414,10351,14,0,0,0,BUY
2014,4830,6152,1910,1741,8.4,12,414,8351,14,0,0,0,BUY
2013,3577,4830,1195,1639,8.1,12,401,5993,11,0,0,0,BUY
2023,16301,16769,13470,2316,96.39,75,24,3510,49,50.55,19.44,14.22,BUY
2022,14136,16301,11935,1516,63.31,89,24,2534,41,50.55,17.17,7.94,BUY
2021,13136,14136,10627,1851,77.38,204,24,3524,45,50.55,17.96,11.23,BUY
2020,11600,13136,9756,13194,58.33,60,24,4379,37,50.63,14.71,13.38,BUY
2019,11055,11600,9322,1155,48.23,31,24,4229,44,50.66,15.75,12.37,BUY
2018,9914,11055,8413,1004,41.83,30,24,3382,47,50.7,17.05,12.63,BUY
2017,9054,9914,7776,885,36.85,30,24,2672,52,50.73,14.85,12.82,BUY
2016,8397,9054,7174,825,34.36,29,24,2068,68,0,0,0,BUY
2015,7858,8397,6988,689,28.71,28,24,1221,66,0,0,0,BUY
2014,6913,7858,6286,395,16.48,36,24,774,59,0,0,0,BUY
2013,6185,6913,5765,260,10.85,39,24,534,39,0,0,0,BUY
2022,346791,473187,327654,11682,53.85,29,2129,49776,16,52.98,13.69,19.85,BUY
2021,230171,346791,209170,17320,74.52,102,2093,51462,18,52.98,12.42,23.31,BUY
2020,284572,230171,275597,3666,14.08,106,1967,34565,9,52.98,12.28,19.61,SELL
2019,298226,284572,283113,8528,35.97,48,1967,36798,18,53.29,15.64,15.32,SELL
2018,235895,298226,220578,9792,41.53,46,1967,34652,21,54.31,19.81,10.03,BUY
2017,201251,235895,187468,9507,40.2,49,1311,29508,24,54.93,22.53,6.74,BUY
2016,187815,201251,174844,8089,37.29,25,656,27138,25,0,0,0,BUY
2015,242598,187815,232818,5082,22.16,34,723,21825,17,0,0,0,SELL
2014,264421,242598,255007,4053,18.03,31,723,18703,16,0,0,0,SELL
2013,242181,264421,235472,1936,8.67,42,723,16052,12,0,0,0,BUY
2012,212140,242181,207178,851,3.6,55,362,15518,9,0,0,0,BUY
2022,116547,139145,59013,8305,7.23,39,2795,63759,11,55.93,19.36,19.5,BUY
2021,100616,116547,55337,-12364,-25.63,0,2746,56207,7,55.86,18.57,20.35,BUY
2020,87539,100616,50930,-30664,-55.06,-3,2728,74417,5,58.98,20.29,15.83,BUY
2019,80780,87539,55016,1688,0.74,244,1999,69424,3,67.14,17.61,13.25,BUY
2018,82639,80780,52560,2184,2,194,1999,67536,7,67.14,18.45,12.38,SELL
2017,95468,82639,60138,4241,6.91,11,1999,65458,10,67.14,15.22,11.15,SELL
2016,96532,95468,62548,6893,11.05,9,1999,64771,13,0,0,0,SELL
2015,96101,96532,62499,5048,8.41,33,1999,37778,11,0,0,0,BUY
2014,85864,96101,59352,3019,5.04,26,1999,57757,10,0,0,0,BUY
2013,76947,85864,53987,2267,4.32,17,1899,48423,7,0,0,0,BUY
2012,71506,76947,47965,4258,8.15,9,1899,48712,9,0,0,0,BUY
2023,41398,54969,12680,11508,190.07,16,121,54251,23,55.91,19.16,12.92,BUY
2022,31641,41398,11880,7028,116.09,17,121,43592,17,55.86,21.41,11.22,BUY
2021,26673,31641,10839,4420,73.35,14,120,36798,13,56.12,24.06,9.08,BUY
2020,26374,26673,9159,5264,87.48,11,120,32208,20,56.2,21.16,10.89,BUY
2019,18487,26374,5454,3995,69.12,9,115,19582,22,55.17,20.67,8.5,BUY
2018,12746,18487,4115,2496,43.19,9,115,15733,20,55.14,19.46,8.98,BUY
2017,9970,12746,3250,1836,33.4,11,109,9491,22,57.94,19.26,5.36,BUY
2016,7299,9970,2354,1279,23.74,10,54,7271,21,0,0,0,BUY
2015,5392,7299,1752,898,17.9,10,50,4750,0,0,0,0,BUY
2023,82072,110382,52204,12210,40.29,2,159,46248,11,60.78,7.03,7.1,BUY
2022,68406,82072,46951,8314,28.63,1,80,40167,10,60.77,8.5,6.97,BUY
2021,60592,68406,40950,7367,28.09,1,80,35750,10,60.8,9.07,6.09,BUY
2020,54351,60592,36094,5994,21.17,2,80,31222,11,60.8,8.62,6.24,BUY
2019,42605,54351,27569,5374,20.23,1,80,23660,13,58.37,8.3,6.5,BUY
2018,32862,42605,22074,4176,16.65,1,80,20403,13,58.35,7.82,7.03,BUY
2017,24507,32862,15794,3450,14.21,1,80,16071,14,58.35,8.22,6.39,BUY
2016,20533,24507,13795,2775,11.71,1,80,13519,14,0,0,0,BUY
2015,11335,20533,5823,2409,10.62,2,80,11009,15,0,0,0,BUY
2014,6023,11335,1531,2191,9.71,2,80,9232,16,0,0,0,BUY
2013,8055,6023,4124,2214,9.89,2,80,7722,19,0,0,0,SELL
