Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,15.343904,15.997316,15.096059,15.681876,14.616557,847376
2002-07-02,15.096059,16.042379,15.096059,15.997316,14.910566,676474
2002-07-03,16.222630,16.222630,15.749470,15.839596,14.763560,574661
2002-07-04,16.109974,16.335287,15.884659,16.222630,15.120575,1148300
2002-07-05,15.794533,15.974785,15.321373,15.411499,14.364546,903273
2002-07-08,15.434030,15.636813,15.208716,15.321373,14.280542,572054
2002-07-09,15.456562,15.479093,15.073527,15.118590,14.091537,657548
2002-07-10,15.411499,15.524156,15.028464,15.073527,14.049533,840243
2002-07-11,15.321373,15.321373,14.645430,14.690493,13.692521,1105675
2002-07-12,14.960870,14.960870,14.397584,14.465179,13.482514,1212941
2002-07-15,14.420116,14.577836,14.262396,14.329990,13.356508,613201
2002-07-16,13.946956,14.420116,13.946956,14.307459,13.335507,490166
2002-07-17,14.239864,14.397584,13.992019,14.082144,13.125500,490399
2002-07-18,14.465179,14.532773,14.194801,14.239864,13.272506,246819
2002-07-19,14.375053,14.397584,14.194801,14.239864,13.272506,273717
2002-07-22,14.329990,14.375053,13.969487,14.172270,13.209502,430722
2002-07-23,14.194801,14.194801,13.766704,14.014550,13.062498,485732
2002-07-24,14.059613,14.059613,13.744173,13.879361,12.936491,250128
2002-07-25,14.194801,14.420116,14.037081,14.059613,13.104499,393443
2002-07-26,13.789236,13.969487,13.586453,13.744173,12.810489,437573
2002-07-29,14.194801,14.194801,13.631516,13.744173,12.810489,491284
2002-07-30,14.194801,14.194801,13.676579,13.721641,12.789487,467602
2002-07-31,13.744173,14.239864,13.203418,14.127207,13.167499,948395
2002-08-01,13.969487,14.014550,13.473796,13.631516,12.705482,616734
2002-08-02,13.563921,13.654047,13.428733,13.586453,12.663483,280372
2002-08-05,13.654047,13.744173,13.563921,13.608984,12.684483,132945
2002-08-06,13.676579,13.676579,13.473796,13.518858,12.600480,270422
2002-08-07,13.721641,13.766704,13.428733,13.518858,12.600480,294814
2002-08-08,13.676579,13.676579,13.451264,13.518858,12.600480,182438
2002-08-09,13.496327,13.608984,13.451264,13.518858,12.600480,225134
2002-08-12,13.518858,13.654047,13.428733,13.631516,12.705482,165155
