Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.600000,3.600000,3.600000,3.600000,1.173881,22000
1996-01-02,3.600000,3.640000,3.600000,3.610000,1.177142,31000
1996-01-03,3.650000,3.650000,3.650000,3.650000,1.190185,11000
1996-01-04,3.600000,3.650000,3.600000,3.650000,1.190185,16000
1996-01-05,3.650000,3.650000,3.540000,3.600000,1.173881,6000
1996-01-08,3.650000,3.650000,3.450000,3.470000,1.131491,17000
1996-01-09,3.200000,3.290000,3.200000,3.290000,1.072797,3000
1996-01-10,3.050000,3.400000,3.050000,3.350000,1.092362,21000
1996-01-11,3.395000,3.400000,3.330000,3.350000,1.092362,14000
1996-01-12,3.350000,3.350000,3.330000,3.340000,1.089101,24000
1996-01-15,3.250000,3.300000,3.245000,3.300000,1.076058,9000
1996-01-16,3.260000,3.300000,3.260000,3.300000,1.076058,5000
1996-01-17,3.375000,3.425000,3.255000,3.255000,1.061384,14000
1996-01-18,3.300000,3.300000,3.025000,3.050000,0.994538,13000
1996-01-19,2.750000,3.040000,2.750000,2.800000,0.913019,167000
1996-01-22,2.835000,3.000000,2.830000,2.830000,0.922801,30000
1996-01-23,2.630000,3.000000,2.630000,2.925000,0.953779,33000
1996-01-24,3.000000,3.000000,2.910000,2.910000,0.948887,9000
1996-01-25,3.200000,3.200000,2.995000,3.020000,0.984756,13000
1996-01-26,3.020000,3.020000,3.020000,3.020000,0.984756,0
1996-01-29,3.000000,3.010000,3.000000,3.000000,0.978234,10000
1996-01-30,3.000000,3.100000,3.000000,3.005000,0.979865,27000
1996-01-31,3.005000,3.265000,3.005000,3.265000,1.064645,10000
1996-02-01,3.265000,3.245000,3.110000,3.110000,1.014103,19000
1996-02-02,3.250000,3.295000,3.240000,3.295000,1.074427,29000
1996-02-05,3.295000,3.615000,3.500000,3.550000,1.157577,41000
1996-02-06,3.550000,3.750000,3.450000,3.620000,1.180403,53000
1996-02-07,3.620000,3.625000,3.550000,3.605000,1.175512,30000
1996-02-08,3.650000,3.750000,3.600000,3.745000,1.221162,45000
1996-02-09,3.745000,4.100000,3.900000,4.025000,1.312465,45000
1996-02-12,4.025000,4.400000,4.005000,4.170000,1.359746,52000
1996-02-13,4.170000,4.225000,4.110000,4.125000,1.345072,61000
1996-02-14,4.125000,4.500000,4.200000,4.300000,1.402136,46000
1996-02-15,4.300000,4.600000,4.400000,4.475000,1.459200,123000
1996-02-16,4.475000,4.500000,4.300000,4.475000,1.459200,89000
1996-02-19,4.475000,4.550000,4.400000,4.495000,1.465721,91000
1996-02-20,4.495000,4.680000,4.300000,4.610000,1.503220,118000
1996-02-21,4.610000,4.610000,4.610000,4.610000,1.503220,0
1996-02-22,4.610000,5.070000,4.255000,5.000000,1.630391,110000
1996-02-23,5.000000,5.000000,4.710000,4.825000,1.573327,127000
1996-02-26,4.795000,4.965000,4.750000,4.900000,1.597783,208000
1996-02-27,4.900000,5.300000,4.725000,4.995000,1.628760,238000
1996-02-28,5.250000,5.250000,4.860000,4.980000,1.623869,169000
1996-02-29,4.980000,4.900000,4.725000,4.860000,1.584740,213000
1996-03-01,4.860000,4.900000,4.700000,4.770000,1.555393,112000
1996-03-04,4.770000,4.795000,4.655000,4.715000,1.537459,106000
1996-03-05,4.715000,4.715000,4.715000,4.715000,1.537459,0
1996-03-06,4.700000,4.700000,4.405000,4.600000,1.499959,51000
1996-03-07,4.600000,4.645000,4.500000,4.600000,1.499959,45000
1996-03-08,4.600000,4.600000,4.500000,4.550000,1.483656,54000
1996-03-11,4.550000,4.525000,4.425000,4.510000,1.470613,90000
1996-03-12,4.510000,4.675000,4.495000,4.555000,1.485286,121000
1996-03-13,4.500000,4.600000,4.500000,4.600000,1.499959,38000
1996-03-14,4.600000,4.675000,4.550000,4.675000,1.524416,39000
1996-03-15,4.675000,4.750000,4.665000,4.690000,1.529306,27000
1996-03-18,4.690000,4.700000,4.555000,4.625000,1.508112,61000
1996-03-19,4.625000,4.650000,4.555000,4.610000,1.503220,64000
1996-03-20,4.610000,4.610000,4.610000,4.610000,1.503220,0
1996-03-21,4.610000,4.650000,4.590000,4.625000,1.508112,32000
1996-03-22,4.625000,4.610000,4.500000,4.500000,1.467352,16000
1996-03-25,4.500000,4.570000,4.505000,4.505000,1.468982,13000
1996-03-26,4.505000,4.600000,4.510000,4.600000,1.499959,36000
1996-03-27,4.600000,4.600000,4.500000,4.555000,1.485286,21000
1996-03-28,4.555000,4.650000,4.600000,4.645000,1.514633,4000
1996-03-29,4.645000,4.700000,4.600000,4.700000,1.532567,23000
1996-04-01,4.650000,4.700000,4.600000,4.700000,1.532567,31000
1996-04-02,4.800000,4.875000,4.710000,4.770000,1.555393,47000
1996-04-03,4.770000,4.850000,4.755000,4.780000,1.558653,36000
1996-04-04,4.725000,4.750000,4.710000,4.720000,1.539088,29000
1996-04-05,4.720000,4.720000,4.720000,4.720000,1.539088,0
1996-04-08,4.800000,4.810000,4.725000,4.800000,1.565175,29000
1996-04-09,4.800000,4.790000,4.750000,4.750000,1.548872,54000
1996-04-10,4.750000,4.795000,4.750000,4.760000,1.552132,8000
1996-04-11,4.760000,4.775000,4.725000,4.760000,1.552132,42000
1996-04-12,4.705000,4.765000,4.705000,4.750000,1.548872,23000
1996-04-15,4.750000,4.825000,4.750000,4.805000,1.566806,99000
1996-04-16,4.805000,4.790000,4.650000,4.750000,1.548872,46000
1996-04-17,4.775000,5.250000,4.775000,5.235000,1.707019,118000
1996-04-18,5.235000,5.650000,5.370000,5.465000,1.782017,163000
1996-04-19,5.465000,5.500000,5.200000,5.200000,1.695606,44000
1996-04-22,5.200000,5.175000,4.700000,5.125000,1.671151,102000
1996-04-23,5.125000,5.100000,4.825000,4.895000,1.596153,85000
1996-04-24,4.895000,5.175000,4.900000,5.045000,1.645064,27000
1996-04-25,5.045000,5.090000,4.900000,4.900000,1.597783,58000
1996-04-26,4.900000,5.250000,4.960000,5.120000,1.669520,71000
1996-04-29,5.120000,5.195000,5.050000,5.140000,1.676042,55000
1996-04-30,5.140000,5.370000,5.200000,5.330000,1.737997,219000
1996-05-01,5.330000,5.855000,5.310000,5.850000,1.907557,284000
1996-05-02,5.850000,6.000000,5.600000,5.930000,1.933644,520000
1996-05-03,5.930000,6.400000,5.925000,6.130000,1.998859,913000
1996-05-06,6.130000,5.925000,5.610000,5.685000,1.853754,307000
1996-05-07,5.685000,5.680000,5.325000,5.625000,1.834190,203000
1996-05-08,5.625000,5.665000,5.300000,5.655000,1.843972,114000
1996-05-09,5.655000,5.575000,5.375000,5.405000,1.762452,132000
1996-05-10,5.405000,5.350000,5.105000,5.225000,1.703758,88000
1996-05-13,5.225000,5.650000,5.225000,5.550000,1.809734,164000
1996-05-14,5.550000,5.495000,5.300000,5.435000,1.772235,125000
1996-05-15,5.435000,5.600000,5.505000,5.560000,1.812994,109000
1996-05-16,5.560000,5.785000,5.605000,5.635000,1.837451,98000
1996-05-17,5.635000,5.600000,5.405000,5.470000,1.783647,84000
1996-05-20,5.470000,5.500000,5.330000,5.495000,1.791799,232000
1996-05-21,5.495000,5.325000,5.205000,5.305000,1.729845,226000
1996-05-22,5.305000,5.405000,5.250000,5.340000,1.741257,52000
1996-05-23,5.340000,5.310000,5.150000,5.195000,1.693976,70000
1996-05-24,5.195000,5.250000,5.195000,5.225000,1.703758,39000
1996-05-27,5.200000,5.320000,5.200000,5.300000,1.728214,74000
1996-05-28,5.300000,5.400000,5.250000,5.315000,1.733105,121000
1996-05-29,5.315000,5.850000,5.330000,5.715000,1.863537,154000
1996-05-30,5.715000,5.950000,5.610000,5.835000,1.902666,130000
1996-05-31,5.835000,5.940000,5.825000,5.855000,1.909187,77000
1996-06-03,5.855000,6.075000,5.800000,5.975000,1.948317,173000
