Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,78.569794,86.391876,77.880356,78.220818,58.902203,15273
1996-01-02,78.220818,78.433609,78.135704,78.391052,59.030376,17623
1996-01-03,78.391052,78.135704,78.050591,78.050591,58.773994,5286
1996-01-04,77.880356,77.880356,77.203690,77.203690,58.136265,12336
1996-01-05,77.114319,77.199440,76.884514,76.995163,57.979244,12923
1996-01-08,77.029205,77.114319,76.603630,76.633423,57.706844,14685
1996-01-09,76.633423,77.114319,75.752480,76.603630,57.684402,26434
1996-01-10,76.603630,77.454781,76.603630,76.603630,57.684402,7636
1996-01-11,76.603630,77.029205,74.901329,77.029205,58.004883,14685
1996-01-12,77.029205,77.284554,76.603630,77.199440,58.133053,6461
1996-01-15,77.199440,76.944092,76.603630,76.603630,57.684402,14685
1996-01-16,76.603630,76.390846,75.412018,75.454575,56.819134,10573
1996-01-17,75.454575,77.369667,75.829086,77.203690,58.136265,67555
1996-01-18,77.203690,77.880356,74.050179,76.693001,57.751705,46407
1996-01-19,76.693001,81.710541,76.433403,76.952606,57.947201,24085
1996-01-22,76.952606,76.944092,76.488724,76.833443,57.857468,15273
1996-01-23,76.833443,77.033463,76.607887,76.612144,57.690823,43470
1996-01-24,76.612144,76.944092,76.012077,76.480217,57.591476,82241
1996-01-25,76.480217,77.114319,76.182312,76.999420,57.982430,46407
1996-01-26,76.999420,76.999420,76.999420,76.999420,57.982430,0
1996-01-29,76.999420,77.454781,76.271683,77.114319,58.068981,249074
1996-01-30,77.114319,78.476166,76.693001,77.514366,58.370220,293719
1996-01-31,77.514366,77.880356,77.029205,77.114319,58.068981,12336
1996-02-01,77.114319,80.433815,77.459038,79.114525,59.575172,358338
1996-02-02,79.114525,82.561691,80.689156,82.561691,62.170990,27609
1996-02-05,82.561691,90.643372,81.455193,85.493912,64.379013,509897
1996-02-06,85.493912,86.817451,83.838417,85.438583,64.337334,647945
1996-02-07,85.438583,86.817451,83.838417,85.574768,64.439896,549255
1996-02-08,85.574768,91.498779,85.966293,88.179291,66.401169,520471
1996-02-09,88.179291,93.243645,87.328140,92.426537,69.599457,142747
1996-02-12,94.818275,96.180115,93.626663,93.924561,70.727478,99864
1996-02-13,93.924561,95.328964,91.924355,95.180016,71.672882,109851
1996-02-14,95.180016,104.691628,94.988503,103.636200,78.040588,511072
1996-02-15,103.636200,99.159142,97.031265,98.320763,74.037956,54631
1996-02-16,98.320763,99.159142,88.945328,98.120743,73.887321,98102
