Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.550000,5.600000,5.533333,5.583333,3.255736,985500
1996-01-02,5.466666,5.566666,5.288888,5.372222,3.132634,7470000
1996-01-03,5.133333,5.254444,5.101111,5.200000,3.032209,15160500
1996-01-04,5.200000,5.332222,5.144444,5.297777,3.089224,12397500
1996-01-05,5.297777,5.277777,5.188888,5.202222,3.033504,5008500
1996-01-08,5.202222,5.238888,5.011111,5.042222,2.940205,12645000
1996-01-09,5.042222,5.108888,4.983333,5.028888,2.932430,8968500
1996-01-10,5.028888,5.111111,4.977777,5.012222,2.922712,2988000
1996-01-11,5.012222,5.043333,4.988888,5.038888,2.938261,2227500
1996-01-12,5.038888,5.133333,5.022222,5.088888,2.967417,4806000
1996-01-15,5.088888,5.111111,5.027777,5.034444,2.935670,2020500
1996-01-16,5.034444,5.067777,5.000000,5.018888,2.926598,3082500
1996-01-17,5.018888,5.044444,5.002222,5.017777,2.925951,3078000
1996-01-18,5.017777,4.997777,4.888888,4.955555,2.889669,5148000
1996-01-19,4.955555,4.966666,4.627777,4.741111,2.764623,16128000
1996-01-22,4.741111,4.775555,4.645555,4.707777,2.745184,3946500
1996-01-23,4.707777,4.747777,4.377777,4.416666,2.575433,7947000
1996-01-24,4.416666,4.477777,4.150000,4.225555,2.463993,15763500
1996-01-25,4.225555,4.222222,4.144444,4.182222,2.438724,8140500
1996-01-26,4.182222,4.182222,4.182222,4.182222,2.438724,0
1996-01-29,4.182222,4.505555,4.167777,4.416666,2.575433,9639000
1996-01-30,4.416666,4.821111,4.440000,4.692222,2.736115,15669000
1996-01-31,4.692222,4.650000,4.460000,4.516666,2.633745,9598500
1996-02-01,4.516666,4.866666,4.522222,4.797777,2.797665,12573000
1996-02-02,4.887777,5.444444,4.844444,5.347777,3.118379,28179000
1996-02-05,5.347777,5.888888,5.355555,5.621111,3.277766,18873000
1996-02-06,5.733333,5.776666,5.412222,5.567777,3.246665,14112000
1996-02-07,5.488888,5.600000,5.335555,5.485555,3.198720,13968000
1996-02-08,5.555555,6.062222,5.488888,6.062222,3.534985,21955500
1996-02-09,6.062222,6.396666,6.068888,6.262222,3.651608,12181500
1996-02-12,6.344444,6.344444,6.000000,6.065555,3.536929,14436000
1996-02-13,6.065555,6.288888,6.000000,6.210000,3.621157,11718000
1996-02-14,6.311111,6.588888,6.311111,6.403333,3.733892,9598500
1996-02-15,6.403333,6.644444,6.333333,6.466666,3.770822,16924500
1996-02-16,6.311111,6.488888,6.155555,6.274444,3.658736,12861000
1996-02-19,6.275555,6.388888,6.266666,6.272222,3.657439,5913000
1996-02-20,6.333333,6.333333,5.866666,5.996666,3.496758,9823500
1996-02-21,5.996666,5.996666,5.996666,5.996666,3.496758,0
1996-02-22,5.996666,6.221111,6.127777,6.143333,3.582282,3231000
1996-02-23,6.143333,6.155555,5.980000,6.064444,3.536281,3168000
1996-02-26,6.064444,6.222222,6.002222,6.078888,3.544703,4230000
1996-02-27,6.078888,6.144444,6.022222,6.060000,3.533688,4432500
1996-02-28,6.060000,6.218888,6.000000,6.025555,3.513604,3217500
1996-02-29,6.025555,6.000000,5.556666,5.645555,3.292018,8167500
1996-03-01,5.645555,5.800000,5.603333,5.742222,3.348387,6880500
1996-03-04,5.742222,5.833333,5.688888,5.765555,3.361993,6084000
1996-03-05,5.765555,5.765555,5.765555,5.765555,3.361993,0
1996-03-06,5.765555,5.780000,5.644444,5.758888,3.358105,3960000
1996-03-07,5.758888,5.822222,5.656666,5.686666,3.315992,4450500
1996-03-08,5.686666,5.622222,5.511111,5.603333,3.267399,5472000
1996-03-11,5.603333,5.574444,5.401111,5.450000,3.177987,4653000
1996-03-12,5.450000,5.444444,5.267777,5.292222,3.085984,4117500
1996-03-13,5.292222,5.733333,5.313333,5.712222,3.330894,8941500
1996-03-14,5.733333,5.866666,5.623333,5.674444,3.308865,12537000
1996-03-15,5.674444,5.711111,5.588888,5.606666,3.269342,13815000
1996-03-18,5.311111,5.373333,5.166666,5.214444,3.040630,17239500
1996-03-19,5.155555,5.311111,5.004444,5.088888,2.967417,15408000
1996-03-20,5.088888,5.088888,5.088888,5.088888,2.967417,0
